"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25","Get courses","LMS service","Tue Dec 16 07:58:37 UTC 2025","passed","Tue Dec 16 07:58:37 UTC 2025","Get entities","Courses","",""
"","529","Create User","LMS service","Tue Dec 16 07:58:44 UTC 2025","passed","Tue Dec 16 07:58:44 UTC 2025","Create entity","Users","",""
"","291","Delete exercise","LMS service","Tue Dec 16 07:58:40 UTC 2025","passed","Tue Dec 16 07:58:40 UTC 2025","Delete entity","Exercises","",""
"","15","Get exercise","LMS service","Tue Dec 16 07:58:39 UTC 2025","passed","Tue Dec 16 07:58:40 UTC 2025","Get entity","Exercises","",""
"","304","Update course","LMS service","Tue Dec 16 07:58:36 UTC 2025","passed","Tue Dec 16 07:58:37 UTC 2025","Update entity","Courses","",""
"","12","Get_user_me","LMS service","Tue Dec 16 07:58:45 UTC 2025","passed","Tue Dec 16 07:58:45 UTC 2025","Get entity","Users","",""
"","265","Create file","LMS service","Tue Dec 16 07:58:41 UTC 2025","passed","Tue Dec 16 07:58:41 UTC 2025","Create entity","Files","",""
"","23","Create exercise","LMS service","Tue Dec 16 07:58:38 UTC 2025","passed","Tue Dec 16 07:58:38 UTC 2025","Create entity","Exercises","",""
"","288","Create User","LMS service","Tue Dec 16 07:58:44 UTC 2025","passed","Tue Dec 16 07:58:45 UTC 2025","Create entity","Users","",""
"","19","Get exercises","LMS service","Tue Dec 16 07:58:41 UTC 2025","passed","Tue Dec 16 07:58:41 UTC 2025","Get entities","Exercises","",""
"","32","Create course","LMS service","Tue Dec 16 07:58:38 UTC 2025","passed","Tue Dec 16 07:58:38 UTC 2025","Create entity","Courses","",""
"","13","Get file","LMS service","Tue Dec 16 07:58:42 UTC 2025","passed","Tue Dec 16 07:58:42 UTC 2025","Get entity","Files","",""
"","293","Update exercise","LMS service","Tue Dec 16 07:58:39 UTC 2025","passed","Tue Dec 16 07:58:39 UTC 2025","Update entity","Exercises","",""
"","551","Create User","LMS service","Tue Dec 16 07:58:44 UTC 2025","passed","Tue Dec 16 07:58:45 UTC 2025","Create entity","Users","",""
"","261","Get file with incorrect file id","LMS service","Tue Dec 16 07:58:44 UTC 2025","passed","Tue Dec 16 07:58:44 UTC 2025","Validate entity","Files","",""
"","267","Delete file","LMS service","Tue Dec 16 07:58:42 UTC 2025","passed","Tue Dec 16 07:58:42 UTC 2025","Delete entity","Files","",""
"","19","Create file with empty directory","LMS service","Tue Dec 16 07:58:44 UTC 2025","passed","Tue Dec 16 07:58:44 UTC 2025","Validate entity","Files","",""
"","550","Login with correct email and password","LMS service","Tue Dec 16 07:58:36 UTC 2025","passed","Tue Dec 16 07:58:36 UTC 2025","Login","Authentication","",""
"","260","Create file with empty filename","LMS service","Tue Dec 16 07:58:43 UTC 2025","passed","Tue Dec 16 07:58:43 UTC 2025","Validate entity","Files","",""
